Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,17.275,17.9645,17.2621,17.9457,183659.31488335
2005-02-28,17.7948,17.7948,17.0805,17.7918,224777.89935362
2005-03-01,17.7463,17.9774,17.6877,17.9645,215218.67260731
2005-03-02,17.775,18.0677,17.7463,17.7611,232116.65198331
2005-03-03,17.8802,17.8802,17.527,17.6073,106408.38536858
2005-03-04,17.7918,17.7918,17.5121,17.7918,202043.99390621
2005-03-07,17.6877,17.7878,17.5369,17.652,185843.50344928
2005-03-08,17.7095,17.7948,17.2998,17.5527,179760.63404671
2005-03-09,17.4209,17.5736,17.3305,17.4139,161684.38220482
2005-03-10,17.2789,17.6233,17.2432,17.3256,226473.24091703
2005-03-11,17.2194,17.5736,17.1331,17.4406,234617.33118593
2005-03-14,17.517,17.6827,17.3166,17.3842,237918.30836794
2005-03-15,17.5736,17.5736,16.9544,17.0288,223964.4982587
2005-03-16,16.9624,17.1748,16.903,16.9129,414835.56634428
2005-03-17,17.0845,17.0845,16.6995,16.8375,397700.72295674
2005-03-18,16.8375,16.8742,15.7144,16.3484,1066811.3175804
2005-03-21,16.1201,16.5339,16.0626,16.4842,220313.76868519
2005-03-22,16.6182,16.8423,16.3929,16.5259,164616.45628801
2005-03-23,16.4118,16.5845,16.4118,16.4356,276055.43008878
2005-03-24,16.5706,16.7244,16.4615,16.5963,261238.83021837
2005-03-28,16.7045,16.7958,16.4802,16.5071,396831.88560379
2005-03-29,16.5309,16.7749,16.2878,16.3404,236409.43421787
2005-03-30,16.4535,16.9357,16.3781,16.6995,374083.86910889
2005-03-31,16.7293,16.8375,16.2591,16.3781,247430.16231195
2005-04-01,16.4168,16.5884,15.9039,16.0676,215757.91620804
2005-04-04,16.1271,16.3324,15.7869,16.3057,125987.46376876
2005-04-05,16.3444,16.4396,15.9366,16.0269,212232.17019805
2005-04-06,15.9852,16.3682,15.9852,16.1013,245350.79867028
2005-04-07,15.4951,15.9039,15.0596,15.2073,1127746.8523942
2005-04-08,15.125,15.6518,15.125,15.2887,696889.19955066
2005-04-11,15.2887,15.4365,15.1379,15.1974,383867.86468318
2005-04-12,15.1469,15.5694,14.9286,15.4465,397307.62949078
2005-04-13,15.386,15.4138,14.6568,14.75,378832.23659117
2005-04-14,14.8432,14.8432,14.234,14.3353,702489.26954249
2005-04-15,14.3274,14.372,14.0932,14.1339,419313.80806021
2005-04-18,14.1339,14.4553,14.0665,14.1865,1215991.29584
2005-04-19,14.1865,14.4316,14.1022,14.3948,1037793.9642695
2005-04-20,14.3274,14.4703,14.0972,14.1816,321911.29478972
2005-04-21,14.234,14.5417,14.1816,14.5188,484819.3063988
2005-04-22,14.5634,14.5634,13.8412,14.0019,341947.97430155
2005-04-25,14.1419,14.5991,14.1419,14.5952,264016.69071109
2005-04-26,14.5991,14.5991,13.9246,13.9246,318199.08136642
2005-04-27,13.8541,14.3274,13.7548,14.2897,407115.8154322
2005-04-28,14.1379,14.2291,13.8372,14.0098,295080.14590877
2005-04-29,13.9941,14.3591,13.9841,14.3353,652397.06679697
2005-05-02,14.2628,14.5824,14.2628,14.4345,268398.17095848
2005-05-03,14.4316,14.5874,14.238,14.3442,147680.17549737
2005-05-04,14.4503,14.8919,14.4385,14.7549,243654.44917491
2005-05-05,14.6845,14.8026,14.5467,14.7262,202349.3972913
2005-05-06,14.8205,14.9286,14.6607,14.7074,149098.33577069
2005-05-09,14.6607,15.0,14.627,14.9722,262136.89759828
2005-05-10,14.7907,14.9762,14.4752,14.5327,294892.67056347
2005-05-11,14.4633,14.6528,14.2063,14.627,192024.14225237
2005-05-12,14.627,14.7074,14.1518,14.1518,163854.45972325
2005-05-13,14.1022,14.3442,13.9295,14.0406,249619.39053771
2005-05-16,14.0535,14.3899,13.862,14.3681,248124.62743513
2005-05-17,14.238,14.238,13.9891,14.2242,299169.32588661
2005-05-18,14.1816,14.8691,14.1816,14.8661,174402.46772622
2005-05-19,14.8691,15.0327,14.7589,14.8661,115280.20251546
2005-05-20,14.7034,14.9762,14.5824,14.8988,119009.55078216
2005-05-23,14.8254,15.2073,14.7828,15.1597,306418.3725715
2005-05-24,15.2351,15.3444,14.9028,14.9762,300010.94907652
2005-05-25,14.7679,14.7679,13.7837,14.0268,1224841.9464157
2005-05-26,14.2213,14.248,13.8372,13.9563,1104635.9803923
2005-05-27,14.1062,14.1062,13.8749,14.0148,296237.25180341
2005-05-31,13.9891,14.0585,13.7341,13.8174,766685.46425989
2005-06-01,13.9563,13.9563,13.5902,13.7023,463217.30854694
2005-06-02,13.6804,13.7598,13.4553,13.489,465249.29938631
2005-06-03,13.5109,13.5109,13.1011,13.3272,613325.59214552
2005-06-06,13.3035,13.8174,13.3035,13.5584,629816.36700809
2005-06-07,13.5902,13.7837,13.4503,13.6676,611460.91801217
2005-06-08,13.6676,13.8174,13.359,13.3957,494633.53993201
2005-06-09,13.493,13.5277,13.3452,13.3908,419647.43354029
2005-06-10,13.4503,13.4503,13.2866,13.3452,1640344.7637201
2005-06-13,13.3452,13.7341,13.3452,13.6577,757101.03921447
2005-06-14,13.6299,13.7985,13.6299,13.7698,644966.59235857
2005-06-15,13.7698,13.9246,13.6755,13.9057,600541.99104645
2005-06-16,13.8799,14.0357,13.7936,14.0268,633920.66596538
2005-06-17,14.0268,14.1943,13.9563,14.1656,719391.28064635
2005-06-20,14.1656,14.4553,14.1022,14.3174,564575.95477601
2005-06-21,14.4048,14.5188,14.234,14.4841,303005.51494148
2005-06-22,14.4593,14.6795,14.3769,14.6071,341456.10350313
2005-06-23,14.5724,14.7172,14.5327,14.6398,541503.38418871
2005-06-24,14.6478,14.8026,14.5952,14.7828,1313554.0702929
2005-06-27,14.7728,14.8343,14.627,14.7629,321837.71575635
2005-06-28,14.8343,15.1339,14.7123,15.13,268494.93242702
2005-06-29,15.125,15.2123,14.9326,15.2123,243167.61803631
2005-06-30,15.254,15.4098,15.0893,15.254,641717.01970671
2005-07-01,15.2847,15.5337,15.1786,15.5337,602584.06120546
2005-07-05,15.4951,15.5694,15.0377,15.2758,783348.59548829
2005-07-06,15.2709,15.3521,15.0327,15.0685,374728.94556583
2005-07-07,14.8343,14.9286,14.7411,14.8789,412896.30524559
2005-07-08,14.8949,15.5516,14.8026,15.3909,526170.72315275
2005-07-11,15.2967,15.4683,15.258,15.3701,489504.17416735
2005-07-12,15.3444,15.3444,15.0327,15.1161,463202.18956748
2005-07-13,15.1201,15.1974,14.9812,15.0457,373220.07141577
2005-07-14,15.2303,15.2887,14.8789,15.0,262576.35593457
2005-07-15,14.9118,15.1469,14.8522,15.1379,334826.93497607
2005-07-18,15.1161,15.1696,14.9514,14.9563,221003.19414855
2005-07-19,14.627,14.7679,14.2063,14.4226,1326101.8153122
2005-07-20,14.3631,14.7867,14.3085,14.6568,658244.08011997
2005-07-21,14.6795,14.8115,14.4633,14.493,423870.66846933
2005-07-22,14.5188,14.6935,14.4553,14.5913,486978.29666564
2005-07-25,14.5913,14.7123,14.3402,14.4752,257577.01339326
2005-07-26,14.4752,14.6755,14.4136,14.4633,420996.04650808
2005-07-27,14.5327,14.6171,14.4503,14.5913,400990.61288714
2005-07-28,14.5913,14.8919,14.5913,14.8115,383482.83467294
2005-07-29,14.8472,14.9563,14.6657,14.8472,238043.29193148
2005-08-01,14.8621,15.2401,14.8621,14.9563,395131.50438057
2005-08-02,14.8919,15.1161,14.8919,15.0814,380299.78553071
2005-08-03,15.0457,15.0814,14.9425,15.0417,269999.77484924
2005-08-04,15.0189,15.1122,14.8572,14.8572,254601.59823562
2005-08-05,14.9028,14.9028,14.6895,14.7123,187484.41668662
2005-08-08,14.6895,14.8621,14.5874,14.6795,229625.04416837
2005-08-09,14.7222,14.7222,14.5467,14.627,177664.13556163
2005-08-10,14.4385,14.6171,14.2847,14.4316,586038.85801685
2005-08-11,14.3809,14.9623,14.1518,14.8026,827372.03987873
2005-08-12,14.7679,14.7956,14.501,14.5417,627712.81299927
2005-08-15,14.5774,14.6795,14.5417,14.6438,472312.88658984
2005-08-16,14.6398,14.6398,14.0932,14.2163,437704.53467486
2005-08-17,14.2985,14.7956,14.2242,14.5674,249550.85116415
2005-08-18,14.4593,14.7312,14.3859,14.5417,237110.9548648
2005-08-19,14.4633,14.6935,14.4464,14.6568,130339.71398918
2005-08-22,14.7262,14.7956,14.51,14.7956,205784.42942453
2005-08-23,14.8155,14.8869,14.3085,14.5824,351895.25485399
2005-08-24,14.7312,16.1231,14.7312,15.1925,1359521.8154417
2005-08-25,15.1509,15.4822,15.125,15.4365,707427.128234
2005-08-26,15.3483,15.7332,15.2303,15.3701,693001.60596562
2005-08-29,15.3661,15.875,15.254,15.8523,529027.20233865
2005-08-30,15.8573,15.9465,15.5784,15.7917,445166.25500415
2005-08-31,15.8523,16.1063,15.6291,15.8046,676534.01353823
2005-09-01,15.7025,15.9941,15.5377,15.894,461138.95283723
2005-09-02,15.8433,16.7482,15.8393,15.9664,449520.52108851
2005-09-06,15.9227,16.5636,15.9227,16.4356,262779.95819129
2005-09-07,16.3632,16.641,15.9465,15.9753,630755.7595985
2005-09-08,15.9317,15.9703,15.6091,15.8622,547149.8190509
2005-09-09,15.894,16.3027,15.894,16.2422,432860.413656
2005-09-12,16.3235,16.887,16.0408,16.7332,527916.46131436
2005-09-13,16.6182,16.6182,16.2501,16.3185,382089.87269873
2005-09-14,16.3444,16.4703,16.1201,16.4356,369005.90787439
2005-09-15,16.5071,16.5309,16.2114,16.3592,512900.29091509
2005-09-16,16.4615,16.882,16.4435,16.8742,1060486.5445064
2005-09-19,16.8046,16.8653,16.2828,16.4703,385752.6974558
2005-09-20,16.5845,16.9457,16.5546,16.6589,800828.1516075
2005-09-21,16.5923,16.6817,16.3027,16.3146,421581.65497914
2005-09-22,16.3881,16.6559,15.9564,16.5259,335274.45676808
2005-09-23,16.5209,16.6995,16.2114,16.5636,221210.82813313
2005-09-26,16.6261,16.7293,16.263,16.4615,228503.21589247
2005-09-27,16.5032,16.9674,16.2541,16.895,368982.72543923
2005-09-28,16.9357,17.0388,16.6897,16.903,399875.84013499
2005-09-29,16.9217,17.2918,16.6817,17.0151,428429.54474238
2005-09-30,16.908,16.9496,16.636,16.9177,633858.17418362
2005-10-03,16.9267,17.3028,16.8355,16.9496,443475.95310057
2005-10-04,16.9931,17.1619,16.7958,16.908,260318.58833528
2005-10-05,16.887,16.9931,16.3632,16.3731,267930.4905272
2005-10-06,16.3969,16.651,16.0447,16.136,314085.71102144
2005-10-07,16.2928,16.5756,16.0834,16.3364,229080.76090783
2005-10-10,16.4435,16.5032,16.1677,16.3929,200273.05744551
2005-10-11,16.5071,16.8423,16.2194,16.2422,277129.88556237
2005-10-12,16.2064,16.5468,15.9465,16.3632,427774.3889658
2005-10-13,16.3185,16.4068,15.9703,16.2541,479667.76613093
2005-10-14,16.3364,16.4535,15.9991,16.4118,174804.63257985
2005-10-17,16.4485,16.4485,15.8433,16.3146,226023.7032611
2005-10-18,16.2332,16.3831,15.7966,15.9039,237640.11914589
2005-10-19,15.8146,16.2828,15.7649,16.2332,389716.89387011
2005-10-20,16.2114,16.3235,15.639,15.8295,240965.28669503
2005-10-21,15.4266,16.0408,15.3909,15.6717,726830.82647243
2005-10-24,15.7144,16.3275,15.5874,16.2194,482523.23738488
2005-10-25,16.0834,16.4068,15.7966,16.013,249475.25626685
2005-10-26,15.9107,16.2382,15.8433,16.0755,149931.89550489
2005-10-27,16.0269,16.1231,15.5953,15.7966,409621.53429464
2005-10-28,15.8622,16.7749,15.8622,16.6003,537184.39572309
2005-10-31,16.5468,16.7799,16.2422,16.5379,392119.80367223
2005-11-01,16.4585,16.8355,16.3444,16.7799,149586.17484124
2005-11-02,16.8603,17.2571,16.7958,17.2571,258392.43035212
2005-11-03,17.2998,17.4615,17.1569,17.2621,194265.78294024
2005-11-04,17.2661,17.2661,16.8423,17.1916,184425.34317597
2005-11-07,17.2432,17.527,16.9981,17.4089,264897.6232476
2005-11-08,17.275,17.3465,17.0488,17.3028,194410.92514305
2005-11-09,17.3216,17.5647,17.1202,17.5369,259421.52888734
2005-11-10,17.5419,17.7561,16.9317,17.7244,157892.54215635
2005-11-11,17.6708,17.7948,17.642,17.7611,135296.72338801
2005-11-14,17.7661,17.7661,16.9267,17.389,256258.63838438
2005-11-15,17.3425,17.5459,17.1202,17.2383,243972.95567553
2005-11-16,17.2621,17.2839,17.0071,17.1529,143180.7672102
2005-11-17,17.2105,17.6103,17.2105,17.527,291708.61348928
2005-11-18,17.6659,17.6827,17.4139,17.5647,187025.80764302
2005-11-21,17.4803,17.6073,17.2254,17.5647,333459.17130096
2005-11-22,17.4615,17.7423,17.4615,17.6827,249586.12878289
2005-11-23,17.5736,17.7016,17.4089,17.647,254395.98011497
2005-11-25,17.642,17.6787,17.5567,17.6787,103766.59569101
2005-11-28,17.5042,17.5042,17.0338,17.2789,211359.30111725
2005-11-29,17.3513,17.7423,17.3305,17.6659,327486.16648246
2005-11-30,17.6281,17.7611,17.5459,17.7144,403212.09493575
2005-12-01,17.7334,17.8415,17.5072,17.7374,361168.22892254
2005-12-02,17.6827,17.7066,17.5459,17.647,261034.22002969
2005-12-05,17.5617,17.642,17.1063,17.5647,411321.91551786
2005-12-06,17.6034,17.8465,17.2918,17.3117,318948.98274762
2005-12-07,17.1867,17.3465,16.903,17.0488,278751.64809242
2005-12-08,17.2055,17.2879,16.6897,17.0568,340986.40720791
2005-12-09,17.0974,17.3256,16.9674,17.2958,298987.89813309
2005-12-12,17.3385,17.3712,16.9496,17.1827,286253.68570027
2005-12-13,17.2571,17.5072,17.0974,17.4615,518711.01868739
2005-12-14,18.3177,20.3982,17.898,19.0529,3294575.806108
2005-12-15,18.8663,19.1521,18.4853,18.6758,897359.81166112
2005-12-16,18.7701,18.7841,17.775,18.6282,1739175.5165836
2005-12-19,18.6332,18.6332,18.1372,18.2156,677618.54833146
2005-12-20,18.2988,18.6838,18.0925,18.2533,634752.20983566
2005-12-21,18.2493,18.8366,18.2493,18.6838,451329.75896384
2005-12-22,18.6144,18.7701,18.3346,18.6094,384220.64087056
2005-12-23,18.6361,18.7374,18.527,18.6758,186027.95499869
2005-12-27,18.6838,18.6838,18.0965,18.1094,242279.62997605
2005-12-28,18.2443,18.6144,18.1192,18.535,167903.32242253
2005-12-29,18.4298,18.6282,18.3494,18.3822,195590.2055409
2005-12-30,18.2196,18.3822,17.9694,18.0241,296736.17812558
2006-01-03,18.0191,18.287,17.6153,18.2373,395274.63071946
2006-01-04,18.278,18.8505,18.1739,18.8276,460784.16078591
2006-01-05,18.8276,19.039,18.7165,18.9486,520643.22426233
2006-01-06,19.0211,19.4191,18.8237,19.3961,512701.72831818
2006-01-09,19.8903,20.6136,19.5747,20.0351,900726.30442078
2006-01-10,20.2197,20.6036,19.9537,20.2464,576937.23238217
2006-01-11,20.1264,20.2772,19.7752,20.1214,529133.03519487
2006-01-12,19.9716,20.1878,19.6988,19.8049,466940.60922185
2006-01-13,19.9032,20.0648,19.5886,19.8396,247687.18496276
2006-01-17,19.6561,19.8049,19.3049,19.4191,211346.19800172
2006-01-18,19.2216,19.5172,19.0817,19.1779,344621.00986999
2006-01-19,19.4528,19.6422,19.2403,19.4288,488474.06770016
2006-01-20,19.5052,19.5459,19.1204,19.2623,511996.17594341
2006-01-23,19.2086,19.6333,19.2086,19.5122,188168.80249017
2006-01-24,19.5609,20.0202,19.5003,19.9766,384276.07712858
2006-01-25,20.0202,20.1264,19.2583,19.6333,622720.52598172
2006-01-26,19.907,20.4965,19.6838,20.4736,404531.47787658
2006-01-27,20.4171,20.8913,20.2245,20.3545,327640.38007295
2006-01-30,20.2861,20.4171,19.9537,20.1829,407576.44033975
2006-01-31,20.0927,20.4647,19.7632,20.2057,334824.91911214
2006-02-01,20.1393,20.1442,19.6521,19.9854,376886.9279007
2006-02-02,19.8446,20.1571,19.5003,19.6749,309094.43193585
2006-02-03,19.5926,19.7365,19.4011,19.4388,305659.39980262
2006-02-06,19.4101,20.1521,19.3257,20.0033,263538.93096016
2006-02-07,19.9032,20.3843,19.6799,19.8396,271507.64106734
2006-02-08,19.8496,20.3843,19.7632,20.3615,259634.20253173
2006-02-09,20.3843,20.5262,20.1571,20.1878,219895.47692014
2006-02-10,20.2464,20.5986,19.9766,20.4925,178859.54287092
2006-02-13,20.3397,20.5679,20.2464,20.5262,220730.04458631
2006-02-14,20.3347,20.5986,20.2057,20.3794,333799.85230479
2006-02-15,20.294,20.4875,19.9437,20.4736,251980.97512929
2006-02-16,20.4299,20.8406,20.3893,20.7712,297611.06307031
2006-02-17,20.8536,20.8536,20.5312,20.6373,267821.63387508
2006-02-21,20.685,20.7614,20.2197,20.5402,184893.02360725
2006-02-22,20.69,20.938,20.3397,20.938,253857.74444621
2006-02-23,20.7614,20.9647,20.6938,20.7951,140617.59622581
2006-02-24,20.6968,20.9697,20.5808,20.8685,309923.95994219
2006-02-27,20.7901,21.1095,20.6283,21.0154,261659.13784736
2006-02-28,21.1552,23.1007,21.0401,22.2069,1465577.424623
2006-03-01,22.1483,22.325,21.8705,22.1532,429838.63362801
2006-03-02,22.0353,22.3567,21.8368,22.2456,459310.56425458
2006-03-03,22.2119,22.2119,21.6593,21.8448,327361.18291893
2006-03-06,21.7861,22.1325,21.6453,21.8785,429365.91353691
2006-03-07,21.7734,21.8735,21.2921,21.3388,255739.55342295
2006-03-08,21.2336,21.5749,21.1314,21.2742,355932.0223697
2006-03-09,21.2693,21.4519,20.8496,21.0658,301354.5223845
2006-03-10,21.0281,21.2098,20.8328,21.1731,288615.27029186
2006-03-13,21.1314,21.1602,21.0193,21.1016,330285.19354642
2006-03-14,21.0193,21.3953,20.8536,21.3953,370109.59337494
2006-03-15,21.4568,21.4717,21.2385,21.421,306420.38843543
2006-03-16,21.5789,21.7911,21.4132,21.7147,385673.07083064
2006-03-17,21.7107,21.7247,21.3863,21.6731,852818.29024119
2006-03-20,21.5749,21.7018,21.4172,21.6691,222984.78838971
2006-03-21,21.5649,21.7287,21.0758,21.0758,291015.15629807
2006-03-22,21.1055,21.4906,21.0004,21.3556,485499.66047449
2006-03-23,21.3913,21.4766,21.1512,21.4568,222351.80711634
2006-03-24,21.4906,21.5322,21.3149,21.5163,249531.70045683
2006-03-27,21.435,21.5114,21.1919,21.4042,165631.44377573
2006-03-28,21.4766,21.4906,21.1512,21.3476,351118.13930977
2006-03-29,21.4766,21.9192,21.2782,21.9092,642769.30067709
2006-03-30,21.8368,22.1355,21.6334,22.0778,276582.57850593
2006-03-31,22.065,22.2356,21.8735,22.1801,349607.24929576
2006-04-03,22.1752,22.1752,21.7911,21.8566,201217.48969576
2006-04-04,21.9092,21.9092,21.5868,21.7783,738991.52561777
2006-04-05,21.6641,22.2306,21.6146,22.1989,558644.27516803
2006-04-06,22.0471,22.1404,21.7197,22.0391,276238.87370623
2006-04-07,22.1989,22.3696,21.6284,21.8785,204014.50089578
2006-04-10,22.0004,22.0004,21.5749,21.7415,526042.71579333
2006-04-11,21.7376,21.9419,21.6066,21.8408,344141.23425514
2006-04-12,21.7554,21.8923,21.4766,21.8318,239478.58704818
2006-04-13,21.8785,22.1135,21.6641,21.8061,267380.15967486
2006-04-17,21.9002,22.0511,21.7415,22.0044,267509.17496625
2006-04-18,22.1722,22.9579,22.0918,22.9529,304811.72902093
2006-04-19,22.8428,23.4114,22.8011,23.3687,596213.93119316
2006-04-20,23.3824,23.5651,23.075,23.4431,495220.15633503
2006-04-21,23.5979,23.6454,23.1285,23.4668,439911.90567596
2006-04-24,23.5165,23.5165,22.8478,23.0551,189882.28682892
2006-04-25,23.0145,23.4668,22.7872,23.4164,447699.18802961
2006-04-26,23.5572,23.6613,23.2308,23.573,794256.43520239
2006-04-27,23.3497,23.7645,22.7525,23.1781,307451.50283457
2006-04-28,23.1781,23.8607,23.1107,23.7774,495262.48947753
2006-05-01,23.8984,24.0126,23.4511,23.6256,271486.4744961
2006-05-02,23.7645,24.3717,23.4858,24.0224,354745.6864481
2006-05-03,24.1425,24.3439,23.9391,24.2457,192682.32182484
2006-05-04,24.1474,24.9441,24.1474,24.7655,194850.38347935
2006-05-05,24.9441,25.47,24.709,25.2071,360323.58193673
2006-05-08,25.0562,25.2735,24.8846,25.1455,212351.1061698
2006-05-09,24.9947,25.719,24.8191,25.4333,332217.39912135
2006-05-10,25.3102,25.5722,24.9897,25.2329,347779.86864509
2006-05-11,25.2121,25.5087,24.8638,25.1415,505017.25502486
2006-05-12,24.972,25.2121,24.4203,24.4967,562463.32937952
2006-05-15,24.4679,24.8151,24.3618,24.6683,414698.48759717
2006-05-16,24.8281,25.1168,24.5732,24.9163,383867.86468318
2006-05-17,24.5781,25.0881,24.2952,24.5869,325593.27025412
2006-05-18,24.699,24.709,24.2308,24.326,387342.206163
2006-05-19,24.2457,24.4243,23.4431,23.8329,594557.89897636
2006-05-22,23.5215,23.8459,23.2436,23.6752,484781.00498417
2006-05-23,23.8132,24.0076,23.311,23.4241,508520.82653162
2006-05-24,23.5035,23.8509,22.8141,23.5979,416303.11528382
2006-05-25,23.9759,24.1792,23.4471,24.1792,561237.68411134
2006-05-26,23.4431,23.9163,22.4817,22.7555,984930.956555
2006-05-30,22.4866,22.4866,21.1354,21.1384,1107488.4278503
2006-05-31,21.2286,21.3745,20.6243,20.7534,1149723.8009367
2006-06-01,20.7345,21.5282,20.5936,21.5163,520797.43785281
2006-06-02,21.1314,22.1135,21.1225,21.8655,557302.71772398
2006-06-05,21.7147,21.9419,21.1919,21.2138,416914.92998595
2006-06-06,21.1642,21.3476,20.7345,20.9964,409282.86915475
2006-06-07,20.9914,21.3199,20.7047,21.0321,540835.12529659
2006-06-08,20.938,21.2336,20.5539,21.1145,414250.96580518
2006-06-09,21.1145,21.3149,21.0004,21.2505,463270.72894103
2006-06-12,21.2236,21.435,21.0441,21.0481,745389.87772507
2006-06-13,20.9508,21.5034,20.5729,20.7614,516982.41536917
2006-06-14,20.8368,20.8368,20.2732,20.3744,610302.80418557
2006-06-15,20.5005,21.2465,20.5005,21.1919,471742.39709821
2006-06-16,21.178,21.306,20.8873,21.0658,867298.24083562
2006-06-19,21.056,21.2048,20.5769,20.5769,288972.07820709
2006-06-20,20.5005,20.6185,20.2772,20.3942,385359.60398985
2006-06-21,20.3654,21.1919,20.3654,21.0441,264108.4125198
2006-06-22,20.9101,20.9101,20.3575,20.3942,387814.9262541
2006-06-23,20.3218,20.9052,19.9487,20.5808,325708.17449801
2006-06-26,20.675,20.9747,20.5986,20.8823,233203.20264047
2006-06-27,20.8278,21.2048,20.2821,20.3039,282265.29891882
2006-06-28,20.4171,20.5489,20.0202,20.3744,317164.94317138
2006-06-29,20.5539,21.6731,20.5539,21.6641,381526.43873087
2006-06-30,21.7018,22.0233,21.7018,21.8785,1388054.3534779
2006-07-03,21.7247,21.933,21.6641,21.933,105504.2703969
2006-07-05,21.8011,21.8368,20.7662,20.8823,497624.07406912
2006-07-06,21.1145,21.5917,21.1145,21.1691,236010.29316014
2006-07-07,21.0658,21.1919,20.5936,20.6561,234110.34140805
2006-07-10,20.7614,21.1095,20.5589,20.7127,216706.38018613
2006-07-11,20.6283,21.0481,20.4349,21.0281,223810.28466821
2006-07-12,20.9429,21.1185,20.1035,20.1442,282959.76404199
2006-07-13,20.1016,20.1124,19.1689,19.2403,522843.53973968
2006-07-14,19.2672,19.2672,18.4993,18.8832,404948.76170967
2006-07-17,18.8832,19.1243,18.54,18.6094,376728.68258235
2006-07-18,18.6838,18.9983,18.1509,18.5915,249865.32593691
2006-07-19,18.53,19.4478,18.5082,19.3921,530048.23741816
2006-07-20,19.4616,19.5886,18.6531,18.7285,327568.81690351
2006-07-21,18.6461,18.6461,18.2076,18.2493,409216.34564513
2006-07-24,18.5469,19.5658,18.5469,19.3694,394855.33102244
2006-07-25,19.4478,19.9954,19.2216,19.6383,365461.0111571
2006-07-26,19.5052,19.8326,19.165,19.5509,372385.5037496
2006-07-27,19.7077,20.1442,19.4388,19.4428,240355.48785683
2006-07-28,19.6104,20.3297,19.4478,20.1264,231547.17042367
2006-07-31,19.7752,20.3258,19.7672,20.2415,247683.15323491
2006-08-01,20.0559,20.1978,19.5242,19.6938,188416.7537533
2006-08-02,19.8376,20.1621,19.6938,19.9716,127049.82405878
2006-08-03,19.792,20.7564,19.792,20.6243,240202.2821983
2006-08-04,20.7901,21.5114,20.2544,20.5262,300322.40005339
2006-08-07,20.3297,20.5729,20.0202,20.3575,177871.76954622
2006-08-08,20.4875,20.5312,19.4953,19.5797,325125.58982284
2006-08-09,19.7802,20.1035,19.0817,19.1064,252379.10825506
2006-08-10,18.9666,19.3049,18.7999,19.2086,293766.81055971
2006-08-11,19.2403,19.2533,19.0112,19.165,132205.3960545
2006-08-14,19.3217,19.8326,19.1481,19.1521,190316.70550539
2006-08-15,19.4825,19.7582,19.025,19.541,328958.75508183
2006-08-16,19.5559,19.9032,19.3604,19.8753,153262.10271385
2006-08-17,19.7483,20.5679,19.7483,20.4349,376479.72338725
2006-08-18,20.5362,20.8406,20.2504,20.68,238677.2811368
2006-08-21,20.5222,20.6136,20.2544,20.2732,308311.26879984
2006-08-22,20.3446,20.3545,19.9854,20.0202,1310816.5270787
2006-08-23,20.3893,20.3893,19.2176,19.286,359108.01598818
2006-08-24,18.3127,19.1204,17.8842,18.4953,2019769.6643061
2006-08-25,18.3624,18.5043,17.7463,17.8941,668407.05811271
2006-08-28,17.7918,17.8842,17.642,17.784,692685.11532894
2006-08-29,17.8891,18.2244,17.6708,17.779,625900.55132805
2006-08-30,17.8663,18.0885,17.7284,17.7878,406446.54860813
2006-08-31,17.8842,18.033,17.7661,17.8118,559756.0241243
2006-09-01,17.775,18.0191,17.7511,17.7948,387916.72738245
2006-09-05,17.8514,17.9824,17.6331,17.8167,1087016.3217301
2006-09-06,17.657,17.8028,17.4992,17.4992,594862.29442947
2006-09-07,17.4357,17.4943,17.2194,17.271,563747.43470162
2006-09-08,17.3613,17.4893,17.2789,17.3613,288656.59550236
2006-09-11,17.2998,17.4843,17.271,17.3425,536983.81726226
2006-09-12,17.4089,17.6827,17.4039,17.5072,608155.90910231
2006-09-13,17.5369,17.7423,17.3712,17.6381,432351.4080142
2006-09-14,17.6034,17.7194,17.394,17.6331,237130.10557211
2006-09-15,17.7711,18.1936,17.6183,17.6827,618549.7035148
2006-09-18,17.7511,17.9873,17.6073,17.7561,487302.85075803
2006-09-19,17.8345,17.8842,17.5894,17.7194,598671.26932133
2006-09-20,17.9278,18.0379,17.647,17.7711,503832.93496718
2006-09-21,17.9119,17.9556,17.522,17.5696,483944.42145408
2006-09-22,17.522,17.7611,17.3613,17.642,626959.88782218
2006-09-25,17.7284,18.0141,17.5419,17.8802,383606.8103045
2006-09-26,17.9239,18.033,17.7561,17.8375,322754.93384357
2006-09-27,17.7284,18.0795,17.6034,18.028,252542.39323322
2006-09-28,18.1332,18.4953,17.7016,18.0012,397976.89631487
2006-09-29,18.0588,18.2244,17.6927,17.7334,404158.54304991
2006-10-02,17.6708,17.9169,17.5736,17.7463,295406.7158651
2006-10-03,17.7423,18.0538,17.5696,17.8028,330147.10686735
2006-10-04,17.7066,18.4606,17.6331,18.3822,310335.19618349
2006-10-05,18.3494,18.6709,18.1699,18.5955,288301.80345104
2006-10-06,18.7215,18.9149,18.4656,18.7889,518335.06006482
2006-10-09,18.7374,19.3524,18.7066,19.165,366234.09497347
2006-10-10,19.0033,19.3824,18.7285,19.286,337392.12182438
2006-10-11,19.1868,19.4478,19.034,19.3049,255849.41800701
2006-10-12,19.4528,19.9994,19.3137,19.9854,251519.34228979
2006-10-13,20.0738,20.6601,19.8674,20.5262,774042.35966493
2006-10-16,20.4825,20.8963,20.2504,20.6423,364611.32451147
