Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,5.48693,5.8816,5.48693,5.73247,153381.35674397
2005-02-28,6.11022,6.11022,5.53085,5.60965,75168.298963111
2005-03-01,5.51333,5.70657,5.50397,5.65368,52275.888781819
2005-03-02,5.51333,5.70657,5.51333,5.56572,77537.448587206
2005-03-03,5.8554,5.8554,5.46063,5.60088,33336.746066495
2005-03-04,5.72371,5.81137,5.443,5.81137,279685.14026306
2005-03-07,5.95213,6.05752,5.95213,5.96965,79922.66024265
2005-03-08,6.18921,6.67223,6.18921,6.53108,679673.89145911
2005-03-09,6.64543,7.24242,6.3474,7.02278,157104.73638624
2005-03-10,7.19869,7.26882,6.53108,6.95325,65436.715719056
2005-03-11,6.58408,7.33905,6.58408,7.26882,187828.39072752
2005-03-14,7.32162,7.39175,6.69813,7.37451,159461.83948682
2005-03-15,7.41794,7.68142,7.03184,7.61139,76771.490467213
2005-03-16,7.67255,7.68142,7.07587,7.27768,31481.581445594
2005-03-17,7.39175,7.54973,7.10177,7.47064,58808.116156388
2005-03-18,7.58499,7.63779,7.20756,7.61965,51752.868885991
2005-03-21,7.63779,7.68142,7.30408,7.52373,32439.280064825
2005-03-22,7.46197,7.59386,7.0412,7.58499,67088.093317206
2005-03-23,7.58499,8.03286,7.41794,8.00626,121187.02265723
2005-03-24,8.02379,8.11155,7.87497,8.07629,19237.294172255
2005-03-28,8.04152,8.15578,7.42711,8.10299,119178.26486155
2005-03-29,7.98016,8.14681,7.68142,7.71638,22441.669426539
2005-03-30,7.83064,7.83064,7.46197,7.46197,34637.770605828
2005-03-31,7.54973,7.75174,7.08463,7.75174,127384.95900432
2005-04-01,7.8922,7.92747,7.24242,7.77814,119394.0984078
2005-04-04,7.77814,7.9713,7.453,7.9713,24233.589799
2005-04-05,7.9713,7.98862,7.84827,7.98862,36401.582423427
2005-04-06,7.90973,7.98862,7.78671,7.78671,25088.892968376
2005-04-07,7.81341,7.98862,7.81341,7.98862,9987.571868693
2005-04-08,7.9713,7.98862,7.44444,7.44444,15591.213055852
2005-04-11,7.49724,7.5589,7.25138,7.30408,238065.40540487
2005-04-12,7.17239,7.67255,7.14569,7.58499,12777.34593876
2005-04-13,7.5055,7.60263,7.44444,7.49724,5048.4972286317
2005-04-14,7.36565,7.58499,6.91768,6.94417,105228.39063425
2005-04-15,6.93501,7.12857,6.68917,6.87375,207345.76657144
2005-04-18,6.75073,6.97047,6.6017,6.89158,49023.327433486
2005-04-19,6.97914,7.27768,6.97914,7.27768,53115.129919846
2005-04-20,7.19869,7.20756,6.94417,6.94417,108851.38258058
2005-04-21,6.90901,7.39175,6.90901,7.21622,45354.157147017
2005-04-22,7.30408,7.30408,6.2418,6.37339,56838.509562119
2005-04-25,6.45239,6.88252,6.45239,6.85632,26360.805075888
2005-04-26,7.0143,7.067,6.7858,7.067,32822.761063301
2005-04-27,7.0412,7.04927,6.97914,7.00564,14331.347471852
2005-04-28,6.77732,7.23386,6.77732,7.05794,18434.192604765
2005-04-29,7.00564,7.15487,6.46125,7.067,144632.56904312
2005-05-02,6.99697,7.00564,5.92593,6.3207,84103.807778392
2005-05-03,6.16261,6.3474,5.57439,5.81137,111021.76456672
2005-05-04,5.94316,5.99585,5.79433,5.99585,28704.857775998
2005-05-05,5.99585,6.03092,5.79433,5.8816,27618.662905968
2005-05-06,5.96965,6.16261,5.81137,6.16261,20236.15174682
2005-05-09,5.99585,6.07514,5.99585,6.05752,9147.3268537069
2005-05-10,5.96089,6.06618,5.91716,5.97843,5390.8192717742
2005-05-11,6.04845,6.07514,5.67988,5.67988,146311.05131918
2005-05-12,5.70657,5.70657,5.13569,5.14446,627289.58396568
2005-05-13,5.17952,5.70657,5.17952,5.54819,505976.07281157
2005-05-16,5.63594,5.81137,5.42546,5.78517,74217.627482595
2005-05-17,5.8554,5.8816,5.57439,5.60965,34000.308736633
2005-05-18,5.68855,5.68855,5.39926,5.443,171800.49119435
2005-05-19,5.47786,5.78517,5.43403,5.77661,144893.57705257
2005-05-20,5.70657,5.79433,5.56572,5.67102,146489.74141795
2005-05-23,5.62748,5.79433,5.62748,5.67988,71393.72159591
2005-05-24,5.70657,5.94316,5.60965,5.86466,223831.43399808
2005-05-25,5.77661,6.52291,5.63594,6.18024,69452.223556504
2005-05-26,6.3207,6.5754,6.30336,6.53108,85957.968522334
2005-05-27,6.58408,6.58408,6.3207,6.50518,104418.26192805
2005-05-31,6.54004,6.5754,6.50518,6.51395,27338.581234306
2005-06-01,6.51395,6.5754,6.41752,6.52291,17694.335285715
2005-06-02,6.54004,6.61057,6.50518,6.59294,40948.141172378
2005-06-03,6.5754,6.58408,6.54004,6.5754,26162.037437934
2005-06-06,6.54004,6.58408,6.35596,6.39092,32218.427133766
2005-06-07,6.89158,7.40927,6.80362,7.26882,302695.0040486
2005-06-08,7.35658,7.8922,7.13713,7.64625,134066.76404584
2005-06-09,7.56726,7.93633,7.54973,7.85713,81246.773952048
2005-06-10,7.76062,7.90087,7.56726,7.70782,50732.92989528
2005-06-13,7.70782,8.33987,7.70782,8.22571,143098.64504922
2005-06-14,8.3051,8.39206,8.16415,8.26944,82056.902658253
2005-06-15,8.26944,8.3051,8.04152,8.18218,74433.461028858
2005-06-16,8.21694,8.62944,8.17302,8.39206,75482.512451392
2005-06-17,8.3051,8.36627,8.21694,8.21694,99014.392255797
2005-06-20,8.33987,8.33987,7.63779,7.74288,132828.98375495
2005-06-21,7.63779,7.81341,7.28645,7.30408,127638.93987505
2005-06-22,7.39175,7.79558,7.30408,7.68142,86971.88425129
2005-06-23,7.80434,7.80434,7.46197,7.54973,58377.452940821
2005-06-24,7.48836,8.10299,7.48836,8.10299,1115800.2054382
2005-06-27,8.29613,8.44526,7.69019,7.98016,155404.16881708
2005-06-28,8.05009,8.384,7.90087,8.33987,199037.68085576
2005-06-29,8.39206,8.44526,8.10299,8.32223,87206.791459781
2005-06-30,8.33987,8.33987,7.76918,7.79558,125755.66669928
2005-07-01,7.85713,8.11155,7.85713,8.11155,90205.371937395
2005-07-05,8.12919,8.2524,7.98016,8.11155,61048.769529684
2005-07-06,8.07629,8.2524,7.76918,7.88343,119149.15242972
2005-07-07,7.69895,8.13785,7.69895,8.09431,45651.304726988
2005-07-08,8.13785,8.23448,8.05009,8.14681,75818.811232777
2005-07-11,8.2524,8.33987,7.90087,8.2524,120742.30516423
2005-07-12,8.31337,8.99791,8.20828,8.77966,214097.8430001
2005-07-13,8.86652,8.91812,8.6646,8.87459,100215.02909919
2005-07-14,8.90986,8.95319,8.60335,8.85806,139731.64172752
2005-07-15,8.77,8.96166,8.60335,8.90986,110713.5743402
2005-07-18,8.86652,9.37814,8.85039,9.13678,95161.512485766
2005-07-19,7.28645,7.63779,6.69813,7.37451,579160.71090299
2005-07-20,7.31255,7.72515,7.31255,7.72515,70889.77536231
2005-07-21,7.74288,7.90087,7.60263,7.64625,85424.909856913
2005-07-22,7.77814,8.691,7.31255,8.68214,221367.9199398
2005-07-25,8.75247,8.76093,8.3574,8.42762,67081.06617849
2005-07-26,8.42762,8.42762,7.88343,8.42762,63094.670772864
2005-07-27,8.42762,8.48032,8.26077,8.3051,46383.131030364
2005-07-28,8.33987,8.48032,8.12041,8.21694,54465.344430188
2005-07-29,8.24314,8.33987,7.59386,8.03286,242425.24303938
2005-08-01,8.08545,8.22571,7.76918,8.02379,28084.461815112
2005-08-02,7.90087,8.05009,7.84827,8.02379,44563.102103041
2005-08-03,7.8922,7.93633,7.81341,7.81341,27055.487931767
2005-08-04,7.81341,7.87497,7.33048,7.35658,91638.908235365
2005-08-05,7.40927,7.5323,6.84735,7.17239,98374.922632684
2005-08-08,7.18096,7.21622,6.72453,6.93501,42989.023030761
2005-08-09,6.94417,7.03184,6.74226,7.03184,27924.845378574
2005-08-10,6.89158,7.02278,6.77732,6.95325,44890.365991793
2005-08-11,6.93501,6.93501,6.68917,6.89158,53706.41344891
2005-08-12,6.80362,6.93501,6.6281,6.76876,31569.922618018
2005-08-15,6.76876,6.87375,6.67223,6.79466,59777.861299132
2005-08-16,6.75969,6.84735,6.59294,6.59294,58748.887415785
2005-08-17,6.6017,6.70719,6.59294,6.61914,28948.799877123
2005-08-18,6.58408,6.67223,6.3474,6.49641,39071.89513533
2005-08-19,6.46125,6.47878,5.97843,6.14548,138769.92760046
2005-08-22,6.22437,6.32946,5.97843,6.2682,68996.463416953
2005-08-23,6.3207,6.3207,6.20653,6.27686,32000.585833584
2005-08-24,6.27686,6.3207,6.18921,6.21541,29745.878182857
2005-08-25,6.27686,6.31193,6.03978,6.27686,86344.461151689
2005-08-26,6.16261,6.2946,6.14548,6.14548,70848.616406977
2005-08-29,6.07514,6.07514,5.97843,6.05752,31998.578079666
2005-08-30,5.97843,6.14548,5.97843,6.09218,48921.93586059
2005-08-31,6.39092,7.10177,6.39092,7.067,215484.19708098
2005-09-01,7.1198,7.56726,7.10177,7.40061,125657.28675727
2005-09-02,7.46197,7.72515,7.28645,7.39175,65878.421581175
