Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,21.8982,22.2657,21.827,22.24,688789.71805213
2005-02-28,22.2766,22.6609,22.2588,22.3262,792165.11855308
2005-03-01,22.344,22.5242,22.1528,22.1528,775653.72779429
2005-03-02,22.1597,22.4984,22.026,22.3212,743171.09511222
2005-03-03,22.447,22.548,22.2311,22.4213,954012.89252812
2005-03-04,22.4936,22.762,22.3568,22.7332,962924.84350206
2005-03-07,22.7214,22.9352,22.5134,22.8431,749848.74819273
2005-03-08,22.8431,22.8967,22.3787,22.4876,727204.9013089
2005-03-09,22.443,22.5104,22.2439,22.2489,523781.82098336
2005-03-10,22.2489,22.3568,21.8517,22.2053,869749.67418835
2005-03-11,22.2053,22.5638,21.8576,22.1251,944739.49616518
2005-03-14,22.2588,22.4381,22.0379,22.0894,963483.16556942
2005-03-15,22.0894,22.1707,21.9359,21.9785,472735.23196755
2005-03-16,21.9785,21.9785,21.5882,21.6308,580020.90618801
2005-03-17,21.6685,21.6833,21.4159,21.5337,1479658.4794
2005-03-18,21.4506,21.5397,21.0811,21.189,1481327.3878581
2005-03-21,21.1207,21.3139,20.7424,21.1207,1870544.5039917
2005-03-22,21.2,21.4595,21.0138,21.0495,1155770.0932675
2005-03-23,21.0138,21.1692,20.8553,21.0187,1127933.7501949
2005-03-24,21.0643,21.3466,20.9326,20.9464,681178.16277938
2005-03-28,21.0296,21.2,20.985,21.0643,684149.48618669
2005-03-29,21.0643,21.2128,20.5987,20.683,954762.03352989
2005-03-30,20.6611,20.991,20.6117,20.9167,689335.92463159
2005-03-31,20.8701,21.1049,20.8127,21.0138,887013.23482088
2005-04-01,21.1842,21.3882,20.8305,21.0881,961444.73473036
2005-04-04,21.1644,21.1644,20.5987,20.887,1179349.8615916
2005-04-05,21.0138,21.194,20.8652,21.0703,1281244.1436968
2005-04-06,21.0445,21.1475,20.9385,21.093,673011.31431125
2005-04-07,21.0881,21.5793,20.8811,21.5694,1256737.5405484
2005-04-08,21.5645,21.5882,21.3882,21.4595,1235952.4114332
2005-04-11,21.5526,21.5793,21.3515,21.4159,847665.15899587
2005-04-12,21.4456,21.7359,21.093,21.6833,1013600.900513
2005-04-13,21.6833,21.8696,21.2,21.2831,748361.57205308
2005-04-14,21.2831,21.2901,20.7166,20.7484,546986.00918253
2005-04-15,20.6938,20.7107,20.2303,20.3323,964964.28396512
2005-04-18,20.3789,20.4888,20.0154,20.1779,1401886.1337022
2005-04-19,20.257,20.6413,20.2184,20.5374,545501.86191486
2005-04-20,20.5374,20.6117,20.1679,20.257,411861.97264141
2005-04-21,20.3551,20.5254,20.2362,20.4828,1329687.9220623
2005-04-22,20.367,20.7374,20.269,20.5314,935831.5836872
2005-04-25,20.6215,21.2792,20.468,21.1792,1322999.1631178
2005-04-26,22.0626,22.3499,21.6685,21.7853,3007942.4694839
2005-04-27,21.6576,21.8378,21.5744,21.6308,1323373.7336187
2005-04-28,21.6358,21.8111,21.3466,21.5467,1611245.8030985
2005-04-29,21.5526,21.7121,21.0751,21.4337,1326898.3309735
2005-05-02,21.4288,21.816,21.3941,21.7566,970164.85714589
2005-05-03,21.8478,22.24,21.7011,21.9191,1083755.633194
2005-05-04,21.9359,22.5104,21.9191,22.4271,1039953.096318
2005-05-05,22.3054,22.9352,22.026,22.2894,1137211.1850538
2005-05-06,22.3965,22.4826,22.2311,22.2311,964038.4587648
2005-05-09,22.2489,22.6351,22.131,22.6351,1097679.3576622
2005-05-10,22.3568,22.3568,21.7566,21.8834,1312238.5906152
2005-05-11,21.9359,22.2103,21.718,22.1231,821681.47594779
2005-05-12,23.0809,23.3017,22.6055,22.6441,3184822.53507
2005-05-13,22.7798,23.6177,22.746,23.5295,3655522.3650705
2005-05-16,23.4572,23.5197,23.1334,23.4088,1230199.573929
2005-05-17,23.3552,24.2081,23.2056,24.1476,2156748.6746374
2005-05-18,24.1169,25.0361,24.0367,24.8013,2462633.4457514
2005-05-19,24.111,24.3883,23.5255,23.7098,3035037.7485467
2005-05-20,23.7098,23.7335,23.3245,23.4889,1614586.6488868
2005-05-23,23.4889,23.9931,23.4632,23.9495,1108629.7394753
2005-05-24,23.895,23.9208,23.4681,23.8128,1276043.570516
2005-05-25,23.8128,23.8128,23.0115,23.2641,1425089.3122775
2005-05-26,23.2641,23.6514,23.2166,23.588,826135.93699878
2005-05-27,23.5415,23.792,23.4156,23.6682,722009.37624808
2005-05-31,23.7455,24.0951,23.2701,23.9812,2780010.766762
2005-06-01,23.9208,24.0278,23.4681,23.9257,1239855.6177848
2005-06-02,23.8901,23.8901,23.4889,23.7673,1577848.45108
2005-06-03,23.695,23.6989,23.4572,23.5731,910770.69696746
2005-06-06,23.6118,23.6742,23.2869,23.4959,649253.85216468
2005-06-07,23.5474,23.9089,23.4681,23.5355,746880.45365739
2005-06-08,23.5355,23.6841,23.2809,23.38,611201.1239209
2005-06-09,23.1998,23.2493,22.8353,23.0967,1095826.6976376
2005-06-10,23.0967,23.2344,22.9026,22.969,550134.01678836
2005-06-13,23.0383,23.4741,22.9075,23.3017,741125.59690522
2005-06-14,23.3017,23.4889,23.2106,23.4889,828727.64178524
2005-06-15,23.8019,23.8366,23.4632,23.7515,972025.59416244
2005-06-16,23.7039,23.8584,23.5077,23.7771,463643.56792311
2005-06-17,23.8406,24.2437,23.6742,24.1793,1045336.4114412
2005-06-20,24.0426,24.0951,23.6989,23.8524,702891.13634295
