Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2000-04-05,8.74204,9.4944,8.6299,9.34491,111379640.50336
2000-04-06,9.26333,9.56634,9.19001,9.38108,24805609.649395
2000-04-07,9.26333,9.38108,9.1164,9.22845,21863501.434534
2000-04-10,9.30964,9.34491,9.19001,9.30964,9138890.7118794
2000-04-11,9.22845,9.26333,9.07886,9.1164,8796336.0409744
2000-04-12,9.19001,10.0975,9.1164,9.75553,17584243.083215
2000-04-13,9.79495,10.4,9.60477,10.2453,17226775.802583
2000-04-14,10.2089,10.2453,9.52889,9.56634,15401655.037536
2000-04-17,9.64517,9.90433,9.64517,9.72105,5710108.7935875
2000-04-18,9.75553,9.83141,9.34491,9.72105,8790658.1878665
2000-04-19,9.75553,9.75553,9.4944,9.64517,8671340.0583086
2000-04-20,9.4944,9.60477,9.26333,9.30964,11205569.369483
2000-04-24,9.34491,9.64517,9.30964,9.60477,5049642.0446319
2000-04-25,9.60477,9.75553,9.56634,9.64517,12008698.900883
2000-04-26,9.60477,9.68755,9.56634,9.68755,9632541.2231952
2000-04-27,9.60477,9.64517,9.34491,9.60477,4028459.6132933
2000-04-28,9.60477,10.1714,9.26333,9.97922,10081768.49594
2000-05-01,10.3192,10.8493,10.1714,10.8493,9544020.4995571
2000-05-02,10.6218,10.8158,10.4739,10.7399,5078497.1072364
2000-05-03,10.7015,10.7399,10.4,10.5487,3212848.953141
2000-05-04,10.4739,10.5487,9.75553,10.5487,5560309.8783369
2000-05-05,10.4,10.7399,10.2837,10.5862,2952968.6945683
2000-05-08,10.7754,11.1913,10.7399,10.8493,4697361.449833
2000-05-09,10.9606,11.078,10.0975,10.3192,6864547.7481279
2000-05-10,10.2453,10.7399,10.2453,10.5862,5323129.8693037
2000-05-11,10.6218,11.0345,10.4739,10.8493,4859315.7403341
2000-05-12,10.9232,11.1913,10.8887,11.1174,3124334.3183534
2000-05-15,11.4544,11.6012,11.2248,11.4169,4371985.4558559
2000-05-16,11.4544,11.7944,11.3361,11.4928,8077831.3836904
2000-05-17,11.4928,11.8693,11.078,11.4928,2556921.4422465
2000-05-18,11.4544,11.5253,11.2622,11.4051,4634298.2102103
2000-05-19,11.1499,11.1499,10.7754,10.9606,6213319.8150249
2000-05-22,10.9962,11.078,10.4739,10.9962,2776587.8875734
2000-05-23,10.9962,11.4544,10.9962,11.3755,3394579.8301243
2000-05-24,11.3755,11.7588,11.2248,11.6771,2550266.3286304
2000-05-25,11.6396,11.6771,11.3016,11.5667,2809008.9869646
2000-05-26,11.5253,11.9422,11.4169,11.9047,4287359.5669325
2000-05-30,12.0171,12.1353,11.7588,11.9766,5234775.5742465
2000-05-31,11.9766,12.3541,11.6771,12.3541,5754527.9729242
2000-06-01,12.3195,12.3541,12.0171,12.0515,4666390.5116736
2000-06-02,12.6546,12.694,12.2782,12.6546,5586732.4451595
2000-06-05,12.3541,12.5816,12.2782,12.3925,3852401.5153758
2000-06-06,12.5816,12.5816,12.2782,12.3195,4788793.658827
2000-06-07,12.3541,12.4713,12.2456,12.4713,1495373.9912076
2000-06-08,12.3925,12.428,12.2082,12.3195,1564921.8566319
2000-06-09,12.3541,12.6546,12.3541,12.6546,1940220.3360054
2000-06-12,12.5097,12.5472,11.8693,12.3195,1738871.1826533
2000-06-13,12.4713,12.5472,12.1688,12.5472,1580482.9289388
2000-06-14,12.3925,12.428,11.9422,12.0515,3745570.6034218
2000-06-15,12.0515,12.2082,11.9766,12.0515,4060071.910374
2000-06-16,12.1688,12.2082,11.9047,12.089,5191168.2416455
2000-06-19,12.0515,12.1353,11.9047,12.0515,2067811.1838002
2000-06-20,11.9766,12.089,11.1913,11.3361,4737235.302258
2000-06-21,11.3361,11.5253,10.9232,11.1499,3961341.1992257
2000-06-22,11.2622,11.7588,11.1499,11.5667,3182859.3347232
2000-06-23,11.4544,11.7588,11.3016,11.6396,3504334.4051352
2000-06-26,12.0515,12.1353,11.5253,11.5667,2742547.1539446
2000-06-27,11.7115,12.3541,11.5667,11.9766,3310930.1869006
2000-06-28,12.2082,12.3195,11.6771,11.8298,5711242.3345922
2000-06-29,11.9766,12.9985,11.8298,12.8477,7967592.7450633
2000-06-30,13.1079,13.2232,11.4544,12.6398,7158136.8979762
2000-07-03,12.5097,12.9581,12.4713,12.8842,1332602.7799287
2000-07-05,12.8123,12.8123,12.3541,12.7334,3320169.002753
2000-07-06,12.428,13.2636,12.3925,13.1897,2548971.4330869
2000-07-07,13.1079,13.2971,13.0714,13.1897,2416359.3132317
2000-07-10,13.1079,13.1897,12.9216,12.9216,1333741.3949756
2000-07-11,12.8477,12.8842,12.3541,12.5472,2356379.061588
2000-07-12,12.5097,12.5816,12.089,12.3195,3216901.0831606
2000-07-13,12.3195,12.3195,11.9422,11.9422,3069531.6192667
2000-07-14,11.9422,12.7334,11.9422,12.5816,2093743.598156
2000-07-17,12.5097,12.5097,12.1688,12.2456,905103.57025647
2000-07-18,12.089,12.3195,12.089,12.2782,3884820.5851501
2000-07-19,12.3195,12.5472,12.1353,12.3195,2191668.5514191
2000-07-20,12.3925,12.766,12.3925,12.3925,3566264.1037531
2000-07-21,12.5097,12.6546,12.3925,12.5097,1286402.6118154
2000-07-24,12.2456,12.3541,12.0515,12.3541,1242630.8802505
2000-07-25,12.2782,12.766,12.2082,12.6546,2119365.4811355
2000-07-26,12.6546,12.8123,12.4713,12.5472,2009771.2458549
2000-07-27,12.5472,12.8123,12.2082,12.3195,2258619.5220974
