Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2005-02-25,15.1232,15.2766,15.0866,15.1796,2021277.1369557
2005-02-28,15.2152,15.3222,14.8867,15.144,1456369.218868
2005-03-01,15.144,15.2518,15.0242,15.1539,1055328.5913642
2005-03-02,15.1539,15.2251,15.0302,15.1123,1143534.5117064
2005-03-03,15.2044,15.3399,15.1123,15.241,1764494.2886537
2005-03-04,15.2815,15.437,15.1687,15.3954,792279.02540416
2005-03-07,15.3954,15.4211,15.2815,15.3954,1709619.5865294
2005-03-08,15.3954,15.5953,15.3954,15.5299,937722.04482102
2005-03-09,15.5606,15.62,15.2459,15.2459,1972665.1107495
2005-03-10,15.2459,15.2518,14.9589,15.0866,758170.78269753
2005-03-11,15.0242,15.2201,15.0143,15.0559,949870.50441523
2005-03-14,15.0866,15.3597,15.045,15.3251,1318770.2060909
2005-03-15,15.3399,15.4063,15.0866,15.1073,1070218.3610206
2005-03-16,15.0975,15.3251,15.0866,15.1232,608419.26858636
2005-03-17,15.1846,15.2301,15.1023,15.1539,713876.34510034
2005-03-18,15.2152,15.2726,15.0975,15.1687,809136.11193914
2005-03-21,15.1687,15.1796,15.0094,15.1073,361055.69503593
2005-03-22,15.0668,15.3073,14.8867,14.8867,1470479.9431658
2005-03-23,14.7936,14.7936,14.2849,14.5768,2204346.7336302
2005-03-24,14.6175,14.6225,14.4274,14.483,1536728.1012656
2005-03-28,14.483,14.5977,14.4323,14.4937,743275.9608662
2005-03-29,14.4937,14.6225,14.3759,14.3759,952623.93969711
2005-03-30,14.4016,14.5501,14.3413,14.483,1096497.7536121
2005-03-31,14.5768,14.6976,14.5661,14.6522,1094134.3462269
2005-04-01,14.754,14.8401,14.6412,14.7887,787184.41230644
2005-04-04,14.8817,14.8975,14.754,14.8659,874212.16547861
2005-04-05,14.8401,15.0509,14.7936,15.0094,1102369.3911986
2005-04-06,15.0094,15.0192,14.8293,14.8867,945164.90877935
2005-04-07,14.8867,15.0609,14.8659,15.0242,1129030.7282069
2005-04-08,15.0242,15.0242,14.8085,14.85,793064.13337262
2005-04-11,14.8243,14.8293,14.6976,14.6976,1268195.9151811
2005-04-12,14.6729,14.7135,14.5611,14.6412,1161955.7515686
2005-04-13,14.6026,14.6571,14.462,14.473,846374.68216992
2005-04-14,14.5414,14.6779,14.5145,14.5768,1332878.9095188
2005-04-15,14.5501,14.6225,14.3672,14.3809,1061209.3228652
